TrialNumber,ApplicationNumber,FilingDate,PatentNumber
IPR2017-00162,13994373,2016-10-31,9115071
IPR2017-00163,13825266,2016-10-31,8940932
IPR2017-00165,13994275,2016-10-31,9073843
IPR2017-00190,10685266,2016-11-02,7214506
IPR2016-01782,13718028,2016-11-02,8974072
IPR2017-00198,12723750,2016-11-02,7853000
PGR2017-00002,14635957,2016-11-02,9247989
IPR2016-01781,13718028,2016-11-02,8974072
IPR2017-00177,13560283,2016-11-03,8537279
IPR2017-00178,13968080,2016-11-03,9179019
IPR2017-00203,09549205,2016-11-04,6649180
IPR2017-00202,08630359,2016-11-04,5764034
IPR2017-00130,14109565,2016-11-07,8976995
IPR2017-00129,12600795,2016-11-07,8630436
IPR2017-00216,12477329,2016-11-08,8013732
PGR2017-00003,14444474,2016-11-08,9254240
IPR2017-00217,10704318,2016-11-08,7996864
IPR2017-00213,13478913,2016-11-09,8625496
IPR2017-00214,10417596,2016-11-10,7196611
IPR2017-00249,11515171,2016-11-11,7693959
IPR2017-00246,10386509,2016-11-11,6837590
IPR2017-00251,12477742,2016-11-11,7835430
IPR2017-00253,12779660,2016-11-11,8238412
IPR2017-00254,13718016,2016-11-11,9014243
IPR2017-00247,14928980,2016-11-11,9303501
IPR2017-00255,13303417,2016-11-11,8718158
IPR2017-00252,11300902,2016-11-11,8000314
IPR2017-00262,14515394,2016-11-14,9156670
IPR2017-00176,10668768,2016-11-14,7161506
IPR2017-00222,12398063,2016-11-14,8243723
IPR2017-00221,10740030,2016-11-14,7535890
IPR2017-00179,14495574,2016-11-14,9054728
IPR2017-00225,14224125,2016-11-14,8995433
IPR2017-00272,14566115,2016-11-15,9242062
IPR2017-00275,14272601,2016-11-15,9179907
IPR2017-00219,09861102,2016-11-15,7116710
IPR2017-00210,09861102,2016-11-15,7116710
PGR2017-00005,13946637,2016-11-17,9307386
IPR2017-00276,09349641,2016-11-18,6633945
IPR2017-00300,13499943,2016-11-18,8894751
IPR2017-00309,13659737,2016-11-21,8863416
IPR2017-00296,13279292,2016-11-21,8505079
IPR2017-00321,14184396,2016-11-23,8923941
IPR2017-00317,14484585,2016-11-23,8989830
